row_type,username,email,role,dob,division,roll_no,course,department,subjects,experience,question_id,rating,teacher_email,comment,subject,description,status
USER,dev_yadav67,dev.yadav61@college.edu,student,2005-07-23,CIVIL-A,CI115,B.Tech Civil,,,,,,,,,,
USER,shivani_kaur87,shivani_kaur5@college.edu,student,2002-10-11,CS-A,CS100,B.Tech CS,,,,,,,,,,
USER,vidhi_mehta3,vidhi_mehta24@college.edu,student,2003-06-09,CIVIL-A,CI057,B.Tech Civil,,,,,,,,,,
USER,sonali_ghosh95,sonali_ghosh9@college.edu,student,2002-04-10,CIVIL-A,CI140,B.Tech Civil,,,,,,,,,,
USER,neeraj_sen66,neerajsen51@college.edu,student,2002-03-12,CS-B,CS094,B.Tech CS,,,,,,,,,,
USER,dev_deshmukh21,devdeshmukh8@college.edu,student,2004-11-27,CS-B,CS008,B.Tech CS,,,,,,,,,,
USER,shalini_rao22,shalini_rao69@college.edu,student,2003-06-20,IT-A,IT003,B.Tech IT,,,,,,,,,,
USER,shalini_patel58,shalini_patel52@college.edu,student,2002-07-14,CS-B,CS152,B.Tech CS,,,,,,,,,,
USER,sai_iyer75,sai_iyer44@college.edu,student,2001-10-09,MECH-A,ME194,B.Tech Mechanical,,,,,,,,,,
USER,kabir_patil96,kabir.patil78@college.edu,student,2001-10-06,EXTC-A,EX159,B.Tech EXTC,,,,,,,,,,
USER,isha_tiwari32,isha.tiwari33@college.edu,student,2005-02-14,MECH-B,ME148,B.Tech Mechanical,,,,,,,,,,
USER,swati_gill10,swatigill86@college.edu,student,2000-03-22,IT-B,IT037,B.Tech IT,,,,,,,,,,
USER,vihaan_malhotra9,vihaan.malhotra68@college.edu,student,2003-05-26,MECH-A,ME031,B.Tech Mechanical,,,,,,,,,,
USER,kunal_gupta48,kunalgupta99@college.edu,student,2001-03-05,CIVIL-A,CI031,B.Tech Civil,,,,,,,,,,
USER,aparna_arora83,aparnaarora43@college.edu,student,2002-02-09,MECH-A,ME071,B.Tech Mechanical,,,,,,,,,,
